Mouza Name,Total Settlements,Total Area,Cultivated Area,Uncultivated Area,Wheat,Rice,Cotton,Sugarcane,Maize,Pulses,Orchard,Vegetables,Canal,River,Tubewell/Well,Ravine,Spring/Stream,Arid,Flooding Torrent,Others,Canal Water,Total Number of Water Courses,Number of Improved Water Courses,Vet Centre Dispensary,If not than Distance,Private Facility,If not than Distance,Mobile Vet Dispenser,Lifestock,If not than Distance,Grains,If not than Distance,Fruits,If not than Distance,Vegetables,If not than Distance,Status,If not than Distance,Fertilizers,If not than Distance,Seeds,If not than Distance,Pesticides,If not than Distance,ADBP,Coop Bank,Commercial Bank,Micro Finance Bank,NGO,RSP,Govt.,Broker,Others,ADBP,Coop Bank,Commercial Bank,Micro Finance Bank,NGO,RSP,Govt.,Broker,Others,Retail Market,Service,Agriculture,Trade,Industry,Personal Business,Overseas Employment,Labour,Service,Agriculture,Trade,Industry,Personal Business,Overseas Employment,Labour,Large Scale,Medium Scale,Small Scale,Cottage Industries,None,Govt. Piped Supply,Tubewell,Well,Hand Pump,Personal Electric Pump,Canal/River,Spring/Stream,Tank/Pond,Others,Taste of Drinking Water,Filtration Facility for Drinking Water,Toilet Facility in Majority of Houses,Bricked Streets in Mouza,Bricked Drains,Sewerage System,Status,If not than Distance,Sui Gas,LPG,Kerosene Oil,Wood,Coal,Animal Dung Cake,Status,If not than Distance,Status,If not than Distance,Status,If not than Distance,Status,If not than Distance,Status,If not than Distance,Status,If not than Distance
Rakh Amb,0,9826,0,9826,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,No,22,No,22,No,Yes,0,Yes,0,Yes,0,Yes,0,No,0,No,0,No,0,No,0,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,0,No,Open Place,None,None,None,All,0,No,No,No,Yes,No,Yes,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0
Fateh Pur,5,5087,2986,2086,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,0,0,No,12,No,12,No,No,12,No,12,No,12,No,12,No,12,No,12,No,12,No,12,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Some,Some,None,None,Some,None,Mostly,Some,Some,None,None,Some,None,Mostly,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Sweet,No,Open Place,Some,None,None,Some,0,No,No,No,Yes,No,Yes,Yes,0,No,50,Yes,0,Yes,0,No,12,Yes,0
Rakh Fateh Pur,0,624,0,624,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,No,15,No,15,No,No,15,No,15,No,15,No,15,No,15,No,15,No,0,No,0,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,0,No,Open Place,None,None,None,All,0,No,No,No,Yes,No,Yes,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0
Warchha,3,13671,4934,8562,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,0,0,No,19,No,19,No,No,19,No,19,No,19,No,19,No,19,No,19,No,19,No,19,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Some,Mostly,Some,None,Some,Some,Some,Some,Some,None,None,None,None,None,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Sweet,No,Open Place,Some,Some,None,Mostly,0,No,No,No,Yes,No,Yes,Yes,0,No,54,Yes,0,Yes,0,No,19,No,19
Rakh Warchha,0,7268,0,7268,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,0,0,No,25,No,25,Yes,Yes,0,Yes,0,Yes,0,Yes,0,No,0,No,0,No,0,No,0,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,0,No,Open Place,None,None,None,All,0,No,No,No,Yes,No,Yes,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0
Choha,2,11174,4411,6724,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,0,0,No,25,No,25,Yes,No,25,No,25,No,25,No,25,No,25,No,25,No,25,No,25,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Some,Mostly,Some,None,Some,Some,Some,Some,None,None,None,None,None,None,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Sweet,No,Open Place,Mostly,Mostly,None,Mostly,0,No,No,No,Yes,No,Yes,Yes,0,No,45,Yes,0,Yes,0,No,25,No,25
Rakh Choha,0,4727,0,4727,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,Yes,0,Yes,0,No,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,No,0,No,0,No,0,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,0,No,Open Place,None,None,None,All,0,No,No,No,Yes,No,Yes,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0
Dhokri,4,8649,3043,5600,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,0,0,No,20,No,20,No,No,35,No,35,No,35,No,35,No,25,No,35,No,35,No,35,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Some,Mostly,Some,None,Some,None,Some,None,None,None,None,None,None,Some,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Sweet,No,Open Place,Some,Some,None,Mostly,0,No,No,No,Yes,No,Yes,Yes,0,No,35,Yes,0,Yes,0,No,2,No,20
Mitha Tawana Shumali,5,4853,4199,642,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,0,0,No,25,No,25,No,No,30,No,30,No,30,No,30,No,30,No,25,No,25,No,25,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Some,Mostly,None,None,None,None,Some,None,Some,None,None,None,None,None,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Sweet,No,Open Place,Some,None,None,Mostly,0,No,No,No,Yes,No,Yes,No,15,No,30,Yes,0,Yes,0,No,8,No,25
Okhli Mohla Shumali,1,1998,1489,507,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,0,0,No,10,No,10,No,No,20,No,20,No,20,No,20,No,20,No,20,No,20,No,20,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,None,Mostly,None,None,None,None,None,None,Some,None,None,None,None,Some,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Sweet,No,Open Place,None,None,None,Some,0,No,No,No,Yes,No,Yes,No,20,No,35,No,1,No,1,No,10,No,20
